ČESKÁ EXPEDICE;http://slovnikceskeliteratury.cz/showContent.jsp?docId=1866;1979 - 2007;;;
ČESKÁ KULTURNÍ RADA V EXILU;http://slovnikceskeliteratury.cz/showContent.jsp?docId=1716;1953 - 1975;;;
ČESKÁ LITERATURA;http://slovnikceskeliteratury.cz/showContent.jsp?docId=79;1953 - (dosud);;;
ČESKÁ POVÍDKA;http://slovnikceskeliteratury.cz/showContent.jsp?docId=80;1996 - 1996;;;
ČESKOSLOVENSKÉ DOKUMENTAČNÍ STŘEDISKO;http://slovnikceskeliteratury.cz/showContent.jsp?docId=1805;1986 - (dosud);;;
ČESKOSLOVENSKÝ FEJETON / FEJTÓN (1975/1976-1978/1979);http://slovnikceskeliteratury.cz/showContent.jsp?docId=81;1975 - 1979;;;
ČESKOSLOVENSKÝ SPISOVATEL;http://slovnikceskeliteratury.cz/showContent.jsp?docId=1635;1949 - 1997;;;
ČETYNA, Bohumír;http://slovnikceskeliteratury.cz/showContent.jsp?docId=300;* 29. 10. 1906;Trojanovice (u Frenštátu pod Radhoštěm);† 11. 1. 1974;Čeladná (u Frýdlantu nad Ostravicí)
ČICHOŇ, Petr;http://slovnikceskeliteratury.cz/showContent.jsp?docId=1349;* 23. 6. 1969;Ostrava;;
ČÍSLO;http://slovnikceskeliteratury.cz/showContent.jsp?docId=82;1946 - 1946;;;
ČIVRNÝ, Lumír;http://slovnikceskeliteratury.cz/showContent.jsp?docId=996;* 3. 8. 1915;Červený Kostelec;† 8. 12. 2001;Praha
ČTI;http://slovnikceskeliteratury.cz/showContent.jsp?docId=83;1947 - 1948;;;
ČTVRTEK, Václav;http://slovnikceskeliteratury.cz/showContent.jsp?docId=1308;* 4. 4. 1911;Praha;† 6. 11. 1976;Praha
DANĚK, Oldřich;http://slovnikceskeliteratury.cz/showContent.jsp?docId=280;* 16. 1. 1927;Ostrava;† 3. 9. 2000;Praha
DANĚK, Václav;http://slovnikceskeliteratury.cz/showContent.jsp?docId=997;* 9. 7. 1929;Praha;;
DAŇHELKA, Jiří;http://slovnikceskeliteratury.cz/showContent.jsp?docId=359;* 7. 2. 1919;Praha;† 28. 3. 1993;Olomouc
