Hodnota CLO;Počet v.;Hodnota AUT;Šestý pád pro 678;Název pro 370 s ind.1;Podpole F;Najít údaj v ();Najít název města v A;Název města v C;Porovnání město A:C
Rotenburg (Německo);1;;;;;Německo;Rotenburg;#HODNOTA!;#HODNOTA!
Roth (Spolková republ. Německo);1;;;;;Spolková republ. Německo;Roth;#HODNOTA!;#HODNOTA!
Roth Aujezd v dalších letech Červený Újezd (Teplice);1;;;;;Teplice;Roth Aujezd v dalších letech Červený Újezd;#HODNOTA!;#HODNOTA!
Rothau (Sokolov);1;;;;;Sokolov;Rothau;#HODNOTA!;#HODNOTA!
Rothau (varianta jména);1;;;;;varianta jména;Rothau;#HODNOTA!;#HODNOTA!
Rothaugest (Teplice);1;;;;;Teplice;Rothaugest;#HODNOTA!;#HODNOTA!
Rothenburg (Spolková republ. Německo);1;;;;;Spolková republ. Německo;Rothenburg;#HODNOTA!;#HODNOTA!
Rottach-Egern am Tegernsee (Spolková republ. Německo);1;;;;;Spolková republ. Německo;Rottach-Egern am Tegernsee;#HODNOTA!;#HODNOTA!
Rottal, zámek Schönburg (Spolková republ. Německo);1;;;;;Spolková republ. Německo;Rottal, zámek Schönburg;#HODNOTA!;#HODNOTA!
Rottendorf (Německo);1;;;;;Německo;Rottendorf;#HODNOTA!;#HODNOTA!
Rottenstein (Rakousko);1;;;;;Rakousko;Rottenstein;#HODNOTA!;#HODNOTA!
Rottweil (Spolková republ. Německo);1;;;;;Spolková republ. Německo;Rottweil;#HODNOTA!;#HODNOTA!
Roudné osada obce Bílý Újezd (Rychnov nad Kněžnou);1;;;;;Rychnov nad Kněžnou;Roudné osada obce Bílý Újezd;#HODNOTA!;#HODNOTA!
Roudnice nad Labem (Ústí nad Labem);1;;;;;Ústí nad Labem;Roudnice nad Labem;#HODNOTA!;#HODNOTA!
Roudnice nad Labem tehdy Roudnice (Litoměřice);1;;;;;Litoměřice;Roudnice nad Labem tehdy Roudnice;#HODNOTA!;#HODNOTA!
Roudný (Benešov);1;;;;;Benešov;Roudný;#HODNOTA!;#HODNOTA!
Rouen (Francie);1;;;;;Francie;Rouen;#HODNOTA!;#HODNOTA!
Rouchovany u Moravského Krumlova (Třebíč);1;;;;;Třebíč;Rouchovany u Moravského Krumlova;#HODNOTA!;#HODNOTA!
Roupov (Plzeň jih);1;;;;;Plzeň jih;Roupov;#HODNOTA!;#HODNOTA!
Rousínov (Rakovník);2;;;;;Rakovník;Rousínov;#HODNOTA!;#HODNOTA!
Rovečín později Rovečné (Ždár nad Sázavou);1;;;;;Ždár nad Sázavou;Rovečín později Rovečné;#HODNOTA!;#HODNOTA!
Roveň (Rychnov nad Kněžnou);1;;;;;Rychnov nad Kněžnou;Roveň;#HODNOTA!;#HODNOTA!
Rovensko pod Kamenicí (R. pod Troskami) (Semily);1;;;;;R. pod Troskami;Rovensko pod Kamenicí;#HODNOTA!;#HODNOTA!
Rovensko pod Troskami (Trutnov);1;;;;;Trutnov;Rovensko pod Troskami;#HODNOTA!;#HODNOTA!
Rovereto (Itálie);1;;;;;Itálie;Rovereto;#HODNOTA!;#HODNOTA!
rovign (Chorvatsko);1;;;;;Chorvatsko;rovign;#HODNOTA!;#HODNOTA!
Rovné (Praha);1;;;;;Praha;Rovné;#HODNOTA!;#HODNOTA!
Rovné část obce Dobré (Rychnov nad Kněžnou);1;;;;;Rychnov nad Kněžnou;Rovné část obce Dobré;#HODNOTA!;#HODNOTA!
Rowayton (USA);1;;;;;USA;Rowayton;#HODNOTA!;#HODNOTA!
Rozbělesy (Děčín);1;;;;;Děčín;Rozbělesy;#HODNOTA!;#HODNOTA!
Rozběřice (Hradec Králové);1;;;;;Hradec Králové;Rozběřice;#HODNOTA!;#HODNOTA!
Rozdělov (Kladno-R.) (Kladno);1;;;;;Kladno-R.;Rozdělov;#HODNOTA!;#HODNOTA!
Rozhovice (Chrudim);1;;;;;Chrudim;Rozhovice;#HODNOTA!;#HODNOTA!
Rozkoš (Znojmo);1;;;;;Znojmo;Rozkoš;#HODNOTA!;#HODNOTA!
Rozov osada obce Lhota pod Horami (České Budějovice);1;;;;;České Budějovice;Rozov osada obce Lhota pod Horami;#HODNOTA!;#HODNOTA!
Rozpoutí (Český Krumlov);1;;;;;Český Krumlov;Rozpoutí;#HODNOTA!;#HODNOTA!
Rozseč (Jihlava);1;;;;;Jihlava;Rozseč;#HODNOTA!;#HODNOTA!
Rozsedly (Klatovy);1;;;;;Klatovy;Rozsedly;#HODNOTA!;#HODNOTA!
Rozsíčko (Blansko);1;;;;;Blansko;Rozsíčko;#HODNOTA!;#HODNOTA!
Rozsochatec (Havlíčkův Brod);1;;;;;Havlíčkův Brod;Rozsochatec;#HODNOTA!;#HODNOTA!
Rozstání (Prostějov);1;;;;;Prostějov;Rozstání;#HODNOTA!;#HODNOTA!
Rozstání u Vyškova (Prostějov);1;;;;;Prostějov;Rozstání u Vyškova;#HODNOTA!;#HODNOTA!
Roztoka (Ukrajina);1;;;;;Ukrajina;Roztoka;#HODNOTA!;#HODNOTA!
Roztoky u Jilemnice (Semily);1;;;;;Semily;Roztoky u Jilemnice;#HODNOTA!;#HODNOTA!
Roztoky u Prahy (Praha - západ);1;;;;;Praha - západ;Roztoky u Prahy;#HODNOTA!;#HODNOTA!
Rožďalovice (Jičín);1;;;;;Jičín;Rožďalovice;#HODNOTA!;#HODNOTA!
Rožkovany (Svidník);1;;;;;Svidník;Rožkovany;#HODNOTA!;#HODNOTA!
Rožmitál na Šumavě (Český Krumlov);1;;;;;Český Krumlov;Rožmitál na Šumavě;#HODNOTA!;#HODNOTA!
Rožmitál pod Tremšínem (Příbram);1;;;;;Příbram;Rožmitál pod Tremšínem;#HODNOTA!;#HODNOTA!
Rožmitál v dalších letech Rožmitál pod Třemšínem (Příbram);1;;;;;Příbram;Rožmitál v dalších letech Rožmitál pod Třemšínem;#HODNOTA!;#HODNOTA!
Rtyně (Náchod);1;;;;;Náchod;Rtyně;#HODNOTA!;#HODNOTA!
Rtyně (R. v Podkrkonoší) (Trutnov);1;;;;;R. v Podkrkonoší;Rtyně;#HODNOTA!;#HODNOTA!
Rtyně (Rtyně v Podkrkonoší) (Trutnov);1;;;;;Rtyně v Podkrkonoší;Rtyně;#HODNOTA!;#HODNOTA!
Rtyně (Teplice);1;;;;;Teplice;Rtyně;#HODNOTA!;#HODNOTA!
Rudelsdorf (Ústí nad Orlicí);1;;;;;Ústí nad Orlicí;Rudelsdorf;#HODNOTA!;#HODNOTA!
Rudelzau (Olomouc);1;;;;;Olomouc;Rudelzau;#HODNOTA!;#HODNOTA!
Rüdersdorf (Spolková republ. Německo);1;;;;;Spolková republ. Německo;Rüdersdorf;#HODNOTA!;#HODNOTA!
Rudice (Uherské Hradiště);1;;;;;Uherské Hradiště;Rudice;#HODNOTA!;#HODNOTA!
Rudig bei Podersam (Louny);1;;;;;Louny;Rudig bei Podersam;#HODNOTA!;#HODNOTA!
Rudíkovy (Bruntál);1;;;;;Bruntál;Rudíkovy;#HODNOTA!;#HODNOTA!
Rudná u Prahy (Beroun);1;;;;;Beroun;Rudná u Prahy;#HODNOTA!;#HODNOTA!
Rudolec (Ždár nad Sázavou);1;;;;;Ždár nad Sázavou;Rudolec;#HODNOTA!;#HODNOTA!
Rudoltice (Benešov);1;;;;;Benešov;Rudoltice;#HODNOTA!;#HODNOTA!
Rudoltice (Ústí nad Orlicí);1;;;;;Ústí nad Orlicí;Rudoltice;#HODNOTA!;#HODNOTA!
Rudoltovice  (Město Libavá-R.) (Olomouc);1;;;;;Město Libavá-R.;Rudoltovice ;#HODNOTA!;#HODNOTA!
Ruhr (Spolková republ. Německo);1;;;;;Spolková republ. Německo;Ruhr;#HODNOTA!;#HODNOTA!
Ruma (Srbsko);1;;;;;Srbsko;Ruma;#HODNOTA!;#HODNOTA!
Rummenohl (Spolková republ. Německo);1;;;;;Spolková republ. Německo;Rummenohl;#HODNOTA!;#HODNOTA!
Rumunsko (Rumunsko);5;Rumunsko$$7ge130694;;;;Rumunsko;Rumunsko;#HODNOTA!;#HODNOTA!
Ruppersdorf (Liberec);1;;;;;Liberec;Ruppersdorf;#HODNOTA!;#HODNOTA!
Ruprechtice (Domažlice);1;;;;;Domažlice;Ruprechtice;#HODNOTA!;#HODNOTA!
Ruprechtice (Náchod);1;;;;;Náchod;Ruprechtice;#HODNOTA!;#HODNOTA!
Rush Center, Kansas (USA);1;;;;;USA;Rush Center, Kansas;#HODNOTA!;#HODNOTA!
Ruská (Michalovce);1;;;;;Michalovce;Ruská;#HODNOTA!;#HODNOTA!
Rusko (Rusko);6;Rusko$$7ge128566;;;;Rusko;Rusko;#HODNOTA!;#HODNOTA!
Rusko (SSSR);9;Rusko$$7ge128566;;;;SSSR;Rusko;#HODNOTA!;#HODNOTA!
Ruščuk (Bulharsko);1;;;;;Bulharsko;Ruščuk;#HODNOTA!;#HODNOTA!
Rutzenmoos (Spolková republ. Německo);1;;;;;Spolková republ. Německo;Rutzenmoos;#HODNOTA!;#HODNOTA!
Růžodol (Liberec-R.) (Liberec);1;;;;;Liberec-R.;Růžodol;#HODNOTA!;#HODNOTA!
Růžodol (Most);2;;;;;Most;Růžodol;#HODNOTA!;#HODNOTA!
Růžov (Ledenice-R.) (České Budějovice);1;;;;;Ledenice-R.;Růžov;#HODNOTA!;#HODNOTA!
Růžov (Prostějov);1;;;;;Prostějov;Růžov;#HODNOTA!;#HODNOTA!
Rybaře (Karlovy Vary);1;;;;;Karlovy Vary;Rybaře;#HODNOTA!;#HODNOTA!
Rybáře (Karlovy Vary);1;;;;;Karlovy Vary;Rybáře;#HODNOTA!;#HODNOTA!
Rybná nad Zdobnicí (Rychnov nad Kněžnou);1;;;;;Rychnov nad Kněžnou;Rybná nad Zdobnicí;#HODNOTA!;#HODNOTA!
Rybná nad Zdobnicí u Rychnova nad Kněžnou (Rychnov nad Kněžnou);1;;;;;Rychnov nad Kněžnou;Rybná nad Zdobnicí u Rychnova nad Kněžnou;#HODNOTA!;#HODNOTA!
Rybníček (Chrudim);1;;;;;Chrudim;Rybníček;#HODNOTA!;#HODNOTA!
Rybniště (Děčín);1;;;;;Děčín;Rybniště;#HODNOTA!;#HODNOTA!
Rychlov (Kroměříž);1;;;;;Kroměříž;Rychlov;#HODNOTA!;#HODNOTA!
Rychlov osada obce Bystřice pod Hostýnem (Kroměříž);1;;;;;Kroměříž;Rychlov osada obce Bystřice pod Hostýnem;#HODNOTA!;#HODNOTA!
Rychmburk (Chrudim);4;;;;;Chrudim;Rychmburk;#HODNOTA!;#HODNOTA!
Rychmburk (Pelhřimov);1;;;;;Pelhřimov;Rychmburk;#HODNOTA!;#HODNOTA!
Rychmburk v dalších letech Předhradí (Chrudim);1;;;;;Chrudim;Rychmburk v dalších letech Předhradí;#HODNOTA!;#HODNOTA!
Rychnov (České Budějovice);1;;;;;České Budějovice;Rychnov;#HODNOTA!;#HODNOTA!
Rychnov nad Kněžnou (Chrudim);1;;;;;Chrudim;Rychnov nad Kněžnou;#HODNOTA!;#HODNOTA!
Rychwald (Karviná);1;;;;;Karviná;Rychwald;#HODNOTA!;#HODNOTA!
Rymanow v Haliči (Polsko);1;;;;;Polsko;Rymanow v Haliči;#HODNOTA!;#HODNOTA!
Rymice (Kroměříž);1;;;;;Kroměříž;Rymice;#HODNOTA!;#HODNOTA!
Rymnice (Rymice) (Kroměříž);1;;;;;Rymice;Rymnice;#HODNOTA!;#HODNOTA!
Rynárec (Pelhřimov);1;;;;;Pelhřimov;Rynárec;#HODNOTA!;#HODNOTA!
Rynartice (Děčín);1;;;;;Děčín;Rynartice;#HODNOTA!;#HODNOTA!
Rytířsko (osada zanikla) (Jihlava);1;;;;;osada zanikla;Rytířsko;#HODNOTA!;#HODNOTA!
Rzy u Nového Hrádku (Náchod);1;;;;;Náchod;Rzy u Nového Hrádku;#HODNOTA!;#HODNOTA!
Řakom (Klatovy);1;;;;;Klatovy;Řakom;#HODNOTA!;#HODNOTA!
Řecko (Řecko);2;Řecko$$7ge131737;;;;Řecko;Řecko;#HODNOTA!;#HODNOTA!
Řečany nad Labem (Pardubice);1;;;;;Pardubice;Řečany nad Labem;#HODNOTA!;#HODNOTA!
Řečkovice (Brno-Ř.) (Brno);1;;;;;Brno-Ř.;Řečkovice;#HODNOTA!;#HODNOTA!
Ředhošť (Litoměřice);1;;;;;Litoměřice;Ředhošť;#HODNOTA!;#HODNOTA!
Řehořov (Jihlava);1;;;;;Jihlava;Řehořov;#HODNOTA!;#HODNOTA!
Řehoty (Králíky-Ř.) (Hradec Králové);1;;;;;Králíky-Ř.;Řehoty;#HODNOTA!;#HODNOTA!
řeka Kamenice (Děčín);1;;;;;Děčín;řeka Kamenice;#HODNOTA!;#HODNOTA!
Řenčov (Rakovník);1;;;;;Rakovník;Řenčov;#HODNOTA!;#HODNOTA!
Řenčov (Řevničov) (Rakovník);1;;;;;Řevničov;Řenčov;#HODNOTA!;#HODNOTA!
Řepčín (Olomouc);1;;;;;Olomouc;Řepčín;#HODNOTA!;#HODNOTA!
Řepeč (Tábor);1;;;;;Tábor;Řepeč;#HODNOTA!;#HODNOTA!
Řepice (Rovná-Ř.) (Strakonice);1;;;;;Rovná-Ř.;Řepice;#HODNOTA!;#HODNOTA!
Řepov (Mladá Boleslav);1;;;;;Mladá Boleslav;Řepov;#HODNOTA!;#HODNOTA!
Řepy (Praha - západ);1;;;;;Praha - západ;Řepy;#HODNOTA!;#HODNOTA!
Řepy (Praha-Ř.) (Praha);1;;;;;Praha-Ř.;Řepy;#HODNOTA!;#HODNOTA!
Řesanice (Plzeň jih);1;;;;;Plzeň jih;Řesanice;#HODNOTA!;#HODNOTA!
Řestoky (Chrudim);1;;;;;Chrudim;Řestoky;#HODNOTA!;#HODNOTA!
Řešetova Lhota (Náchod);1;;;;;Náchod;Řešetova Lhota;#HODNOTA!;#HODNOTA!
Řetenice (Teplice);1;;;;;Teplice;Řetenice;#HODNOTA!;#HODNOTA!
Řevnice (Praha);1;;;;;Praha;Řevnice;#HODNOTA!;#HODNOTA!
Řevnice u Prahy (Praha - západ);1;;;;;Praha - západ;Řevnice u Prahy;#HODNOTA!;#HODNOTA!
Řevníčov u Rakovníka (Rakovník);1;;;;;Rakovník;Řevníčov u Rakovníka;#HODNOTA!;#HODNOTA!
Řezno (Německo);1;;;;;Německo;Řezno;#HODNOTA!;#HODNOTA!
Řicmanice (Brno venkov);1;;;;;Brno venkov;Řicmanice;#HODNOTA!;#HODNOTA!
Říčany (Brno venkov);1;;;;;Brno venkov;Říčany;#HODNOTA!;#HODNOTA!
Říčany (Praha - západ);1;;;;;Praha - západ;Říčany;#HODNOTA!;#HODNOTA!
Říčany autonehoda (Praha - východ);1;;;;;Praha - východ;Říčany autonehoda;#HODNOTA!;#HODNOTA!
Říčky (Ústí nad Orlicí);1;;;;;Ústí nad Orlicí;Říčky;#HODNOTA!;#HODNOTA!
Řídký (Svitavy);1;;;;;Svitavy;Řídký;#HODNOTA!;#HODNOTA!
Řikovice (Přerov);1;;;;;Přerov;Řikovice;#HODNOTA!;#HODNOTA!
Římov (Třebíč);1;;;;;Třebíč;Římov;#HODNOTA!;#HODNOTA!
Řimovice (Benešov);1;;;;;Benešov;Řimovice;#HODNOTA!;#HODNOTA!
Řípec (Tábor);1;;;;;Tábor;Řípec;#HODNOTA!;#HODNOTA!
Říšnice (Benešov);1;;;;;Benešov;Říšnice;#HODNOTA!;#HODNOTA!
Saalfeld (Spolková republ. Německo);1;;;;;Spolková republ. Německo;Saalfeld;#HODNOTA!;#HODNOTA!
Saalfelden (Rakousko);1;;;;;Rakousko;Saalfelden;#HODNOTA!;#HODNOTA!
Saarlouis (Spolková republ. Německo);1;;;;;Spolková republ. Německo;Saarlouis;#HODNOTA!;#HODNOTA!
Sabac (Srbsko);1;;;;;Srbsko;Sabac;#HODNOTA!;#HODNOTA!
Sables d´Olonne (Francie);1;;;;;Francie;Sables d´Olonne;#HODNOTA!;#HODNOTA!
Saclay (Francie);1;;;;;Francie;Saclay;#HODNOTA!;#HODNOTA!
Sadov (Karlovy Vary);1;;;;;Karlovy Vary;Sadov;#HODNOTA!;#HODNOTA!
Sadská  (Nymburk);1;;;;;Nymburk;Sadská ;#HODNOTA!;#HODNOTA!
Safaga (Egypt);1;;;;;Egypt;Safaga;#HODNOTA!;#HODNOTA!
Sagan (Polsko);1;;;;;Polsko;Sagan;#HODNOTA!;#HODNOTA!
Sagmeisterhäusel bei Pronfelden (Spolková republ. Německo);1;;;;;Spolková republ. Německo;Sagmeisterhäusel bei Pronfelden;#HODNOTA!;#HODNOTA!
Sachsenburg (Rakousko);1;;;;;Rakousko;Sachsenburg;#HODNOTA!;#HODNOTA!
Sachsenhausen (Německo);1;;;;;Německo;Sachsenhausen;#HODNOTA!;#HODNOTA!
Sachsenhausen (Spolková republ. Německo);1;;;;;Spolková republ. Německo;Sachsenhausen;#HODNOTA!;#HODNOTA!
Sachsenhausen k.t. (Německo);1;;;;;Německo;Sachsenhausen k.t.;#HODNOTA!;#HODNOTA!
Sachsenhausen k.t. (Spolková republ. Německo);1;;;;;Spolková republ. Německo;Sachsenhausen k.t.;#HODNOTA!;#HODNOTA!
Saint John (Kanada);1;;;;;Kanada;Saint John;#HODNOTA!;#HODNOTA!
Saint Sébastien-sur-Loire (Francie);1;;;;;Francie;Saint Sébastien-sur-Loire;#HODNOTA!;#HODNOTA!
Sainte Genevieve des Bois (Francie);1;;;;;Francie;Sainte Genevieve des Bois;#HODNOTA!;#HODNOTA!
Saitz (Břeclav);1;;;;;Břeclav;Saitz;#HODNOTA!;#HODNOTA!
Salavice (Jihlava);1;;;;;Jihlava;Salavice;#HODNOTA!;#HODNOTA!
Saline Co. (USA);1;;;;;USA;Saline Co.;#HODNOTA!;#HODNOTA!
Salisburg (Jihoafrická republ.);1;;;;;Jihoafrická republ.;Salisburg;#HODNOTA!;#HODNOTA!
Saló (Itálie);1;;;;;Itálie;Saló;#HODNOTA!;#HODNOTA!
Salzerbad (Rakousko);1;;;;;Rakousko;Salzerbad;#HODNOTA!;#HODNOTA!
Samara (SSSR);1;;;;;SSSR;Samara;#HODNOTA!;#HODNOTA!
Sambor (Ukrajina);1;;;;;Ukrajina;Sambor;#HODNOTA!;#HODNOTA!
Samobar (Jugoslávie);1;;;;;Jugoslávie;Samobar;#HODNOTA!;#HODNOTA!
samota Koráb u Mikulovic (Znojmo);1;;;;;Znojmo;samota Koráb u Mikulovic;#HODNOTA!;#HODNOTA!
Samotín (Ždár nad Sázavou);1;;;;;Ždár nad Sázavou;Samotín;#HODNOTA!;#HODNOTA!
Samšín (Jičín);1;;;;;Jičín;Samšín;#HODNOTA!;#HODNOTA!
Samšina (Jičín);1;;;;;Jičín;Samšina;#HODNOTA!;#HODNOTA!
Samšina část Plhov (Jičín);1;;;;;Jičín;Samšina část Plhov;#HODNOTA!;#HODNOTA!
San Antonio (USA);1;;;;;USA;San Antonio;#HODNOTA!;#HODNOTA!
San Francisco (USA);1;;;;;USA;San Francisco;#HODNOTA!;#HODNOTA!
sanatorium Pleš u Dobříše (Příbram);1;;;;;Příbram;sanatorium Pleš u Dobříše;#HODNOTA!;#HODNOTA!
sanatorium ve Švýcarsku (Švýcarsko);1;;;;;Švýcarsko;sanatorium ve Švýcarsku;#HODNOTA!;#HODNOTA!
Sandau (Česká Lípa);1;;;;;Česká Lípa;Sandau;#HODNOTA!;#HODNOTA!
Sandau (Cheb);1;;;;;Cheb;Sandau;#HODNOTA!;#HODNOTA!
Sandhübel (Šumperk);1;;;;;Šumperk;Sandhübel;#HODNOTA!;#HODNOTA!
Sankt Anton (Rakousko);2;;;;;Rakousko;Sankt Anton;#HODNOTA!;#HODNOTA!
Sankt Gallen (Švýcarsko);1;;;;;Švýcarsko;Sankt Gallen;#HODNOTA!;#HODNOTA!
Sankt Leonhard (Rakousko);1;;;;;Rakousko;Sankt Leonhard;#HODNOTA!;#HODNOTA!
Sankt Petěrburg (SSSR);1;;;;;SSSR;Sankt Petěrburg;#HODNOTA!;#HODNOTA!
Sanok (Polsko);1;;;;;Polsko;Sanok;#HODNOTA!;#HODNOTA!
Santa Catarina (Brazílie);1;;;;;Brazílie;Santa Catarina;#HODNOTA!;#HODNOTA!
Santa Clara (USA);1;;;;;USA;Santa Clara;#HODNOTA!;#HODNOTA!
Santa Fe (USA);1;;;;;USA;Santa Fe;#HODNOTA!;#HODNOTA!
Santa María Suamca (Mexiko);1;;;;;Mexiko;Santa María Suamca;#HODNOTA!;#HODNOTA!
Santiago (Chile);1;;;;;Chile;Santiago;#HODNOTA!;#HODNOTA!
Santiago de Chile (Chile);1;;;;;Chile;Santiago de Chile;#HODNOTA!;#HODNOTA!
Sao Paolo (Brazílie);1;;;;;Brazílie;Sao Paolo;#HODNOTA!;#HODNOTA!
Sarau (Český Krumlov);1;;;;;Český Krumlov;Sarau;#HODNOTA!;#HODNOTA!
Sasina (Svitávka) (Blansko);1;;;;;Svitávka;Sasina;#HODNOTA!;#HODNOTA!
Saská Kamenice (Spolková republ. Německo);1;;;;;Spolková republ. Německo;Saská Kamenice;#HODNOTA!;#HODNOTA!
Saskachewan (Kanada);1;;;;;Kanada;Saskachewan;#HODNOTA!;#HODNOTA!
Saskatoon (Kanada);1;;;;;Kanada;Saskatoon;#HODNOTA!;#HODNOTA!
Sasko (Spolková republ. Německo);1;;;;;Spolková republ. Německo;Sasko;#HODNOTA!;#HODNOTA!
Satalice (Praha - východ);1;;;;;Praha - východ;Satalice;#HODNOTA!;#HODNOTA!
Satalice (Praha);1;;;;;Praha;Satalice;#HODNOTA!;#HODNOTA!
Satu-Mare (Rumunsko);1;;;;;Rumunsko;Satu-Mare;#HODNOTA!;#HODNOTA!
Savigny-sur-Orge (Francie);1;;;;;Francie;Savigny-sur-Orge;#HODNOTA!;#HODNOTA!
Savín (Olomouc);1;;;;;Olomouc;Savín;#HODNOTA!;#HODNOTA!
Sázava (Benešov);1;;;;;Benešov;Sázava;#HODNOTA!;#HODNOTA!
Sázava (Ždár nad Sázavou);1;;;;;Ždár nad Sázavou;Sázava;#HODNOTA!;#HODNOTA!
Sázava u Lanškrouna (Ústí nad Orlicí);1;;;;;Ústí nad Orlicí;Sázava u Lanškrouna;#HODNOTA!;#HODNOTA!
Sázava-Černé Budy (Kutná Hora);1;;;;;Kutná Hora;Sázava-Černé Budy;#HODNOTA!;#HODNOTA!
Sazená (Kladno);1;;;;;Kladno;Sazená;#HODNOTA!;#HODNOTA!
Sazomín (Ždár nad Sázavou);1;;;;;Ždár nad Sázavou;Sazomín;#HODNOTA!;#HODNOTA!
Sazovice (Zlín);1;;;;;Zlín;Sazovice;#HODNOTA!;#HODNOTA!
Scarborough (Velká Británie);1;;;;;Velká Británie;Scarborough;#HODNOTA!;#HODNOTA!
Seattle (USA);1;;;;;USA;Seattle;#HODNOTA!;#HODNOTA!
Sebastianberg (Chomutov);1;;;;;Chomutov;Sebastianberg;#HODNOTA!;#HODNOTA!
Sebelditz bei Duppau (Chomutov);1;;;;;Chomutov;Sebelditz bei Duppau;#HODNOTA!;#HODNOTA!
Sebranice (Svitavy);1;;;;;Svitavy;Sebranice;#HODNOTA!;#HODNOTA!
Seč (Chrudim);1;;;;;Chrudim;Seč;#HODNOTA!;#HODNOTA!
Sečovce (Trebišov);1;;;;;Trebišov;Sečovce;#HODNOTA!;#HODNOTA!
Sedlatice (Jihlava);1;;;;;Jihlava;Sedlatice;#HODNOTA!;#HODNOTA!
Sedlec (Karlovy Vary);1;;;;;Karlovy Vary;Sedlec;#HODNOTA!;#HODNOTA!
Sedlec (Pelhřimov);1;;;;;Pelhřimov;Sedlec;#HODNOTA!;#HODNOTA!
Sedlec (Plzeň);1;;;;;Plzeň;Sedlec;#HODNOTA!;#HODNOTA!
Sedlec (Tábor);1;;;;;Tábor;Sedlec;#HODNOTA!;#HODNOTA!
Sedlec u Kutné Hory (Kutná Hora);1;;;;;Kutná Hora;Sedlec u Kutné Hory;#HODNOTA!;#HODNOTA!
Sedlec-Prčice (Příbram);1;;;;;Příbram;Sedlec-Prčice;#HODNOTA!;#HODNOTA!
Sedlečko (Benešov);1;;;;;Benešov;Sedlečko;#HODNOTA!;#HODNOTA!
Sedlice (Písek);1;;;;;Písek;Sedlice;#HODNOTA!;#HODNOTA!
Sedliště (Frýdek Místek);1;;;;;Frýdek Místek;Sedliště;#HODNOTA!;#HODNOTA!
Sedlíštky (Semily);1;;;;;Semily;Sedlíštky;#HODNOTA!;#HODNOTA!
Sedlnice (Nový Jičín);1;;;;;Nový Jičín;Sedlnice;#HODNOTA!;#HODNOTA!
Sedlo (České Budějovice);1;;;;;České Budějovice;Sedlo;#HODNOTA!;#HODNOTA!
Sedloňov (Rychnov nad Kněžnou);1;;;;;Rychnov nad Kněžnou;Sedloňov;#HODNOTA!;#HODNOTA!
Sedmerovce (Komárno);1;;;;;Komárno;Sedmerovce;#HODNOTA!;#HODNOTA!
Sedmihorky (Karlovice-S.) (Semily);1;;;;;Karlovice-S.;Sedmihorky;#HODNOTA!;#HODNOTA!
Sedmihorky (Semily);1;;;;;Semily;Sedmihorky;#HODNOTA!;#HODNOTA!
See (Spolková republ. Německo);1;;;;;Spolková republ. Německo;See;#HODNOTA!;#HODNOTA!
See u Parsbergu (Spolková republ. Německo);1;;;;;Spolková republ. Německo;See u Parsbergu;#HODNOTA!;#HODNOTA!
Seebergen (Spolková republ. Německo);1;;;;;Spolková republ. Německo;Seebergen;#HODNOTA!;#HODNOTA!
Seeg/Allgäu (Spolková republ. Německo);1;;;;;Spolková republ. Německo;Seeg/Allgäu;#HODNOTA!;#HODNOTA!
Seelach (Rakousko);1;;;;;Rakousko;Seelach;#HODNOTA!;#HODNOTA!
Seeshaupt an Starnb.See (Spolková republ. Německo);1;;;;;Spolková republ. Německo;Seeshaupt an Starnb.See;#HODNOTA!;#HODNOTA!
Seestadtl (Most);1;;;;;Most;Seestadtl;#HODNOTA!;#HODNOTA!
Seewalchen am Attersee (Rakousko);1;;;;;Rakousko;Seewalchen am Attersee;#HODNOTA!;#HODNOTA!
Segedín (Maďarsko);1;;;;;Maďarsko;Segedín;#HODNOTA!;#HODNOTA!
Sehraditz (Zlín);1;;;;;Zlín;Sehraditz;#HODNOTA!;#HODNOTA!
Seidau (Německo);1;;;;;Německo;Seidau;#HODNOTA!;#HODNOTA!
Seld (Jugoslávie);1;;;;;Jugoslávie;Seld;#HODNOTA!;#HODNOTA!
Seloutky u Plumlova (Prostějov);1;;;;;Prostějov;Seloutky u Plumlova;#HODNOTA!;#HODNOTA!
Semčice (Mladá Boleslav);1;;;;;Mladá Boleslav;Semčice;#HODNOTA!;#HODNOTA!
Semčice u Mladé Boleslavi (Mladá Boleslav);1;;;;;Mladá Boleslav;Semčice u Mladé Boleslavi;#HODNOTA!;#HODNOTA!
Semněvice (Domažlice);1;;;;;Domažlice;Semněvice;#HODNOTA!;#HODNOTA!
Semtěš (Hradec Králové);1;;;;;Hradec Králové;Semtěš;#HODNOTA!;#HODNOTA!
Semtín (Benešov);1;;;;;Benešov;Semtín;#HODNOTA!;#HODNOTA!
Sendražice (Kolín);2;;;;;Kolín;Sendražice;#HODNOTA!;#HODNOTA!
Senec (Bratislava venkov);1;;;;;Bratislava venkov;Senec;#HODNOTA!;#HODNOTA!
Senec (Rakovník);1;;;;;Rakovník;Senec;#HODNOTA!;#HODNOTA!
Senica (Senica);1;;;;;Senica;Senica;#HODNOTA!;#HODNOTA!
Senica (Slovensko);1;;;;;Slovensko;Senica;#HODNOTA!;#HODNOTA!
Senica nad Myjavou v dalších letech Senica (Senica);1;;;;;Senica;Senica nad Myjavou v dalších letech Senica;#HODNOTA!;#HODNOTA!
